,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_affinity,electrons,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,neutrons,pettifor_number,proton_affinity,protons,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,en_Allen,en_Allred_Rochow,en_Cottrell_Sutton,en_Ghosh,en_Gordy,en_Martynov_Batsanov,en_Mulliken,en_Nagle,en_Pauling,en_Sanderson,en_Tardini_Organov,hardness,nvalence,zeff,max_ionenergy,num_oxistates,BulkModulus,ElectronAffinity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,MiracleRadius,NUnfilled,NValence,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,SecondIonizationEnergy,ShearModulus,SpaceGroupNumber,n_ws^third,phi
Sc,21,160.0,263.0,15.0,44.955908,3104.0,1383.0,1570.0,,170.0,148.0,116.0,114.0,,2.99,97.0,0.188,21,332.7,15.8,892.0,48,377.8,3.31,45,1814.0,11,144.0,162.0,24,20,914.0,21,0.556,15.8,215.0,258.0,229.99999999999997,,,261.0,,,329.5,7.042000000000001,0.00013696128560993425,0.14237369936287486,0.11938330000000001,0.02027027027027027,3.1113710804081216,3.280745,0.31389411501270365,1.36,0.30386739031992177,2.35,3.186745,3,3.0,6033.754,1,57.0,18.1,6.56149,14.1,0.0,-6.28551309,3.542874021,4.463741557,6.35e-06,22.235,162.0,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.79977,29.0,194.0,1.27,3.25
Ti,22,140.0,257.0,10.6,47.867,3560.0,1044.0,1200.0,140.0,160.0,136.0,117.0,108.0,,4.506,100.0,0.079,22,422.6,18.8,853.7,51,473.0,2.95,48,1933.0,43,132.0,147.0,26,51,876.0,22,0.523,21.9,211.0,246.0,215.0,,,239.0,,,317.5,8.17,0.00017030709342560546,0.1521898968587677,0.12336369999999999,0.023161764705882344,3.194027238456178,3.41406,0.3419951893353394,1.54,0.4055462030063852,2.23,3.3745600000000002,4,3.1499999999999986,6625.807,3,110.0,7.6,6.82812,14.15,0.0,-7.77522712,3.219799121,4.056692689,2.25333333333e-05,16.69,142.0,8.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.5755,44.0,194.0,1.52,3.8
V,23,135.0,252.0,8.35,50.9415,3650.0,832.0,955.0,,153.0,134.0,112.0,106.0,,6.0,87.0,0.525,23,460.0,17.5,836.8,54,515.5,3.02,51,2160.0,47,122.0,134.0,28,54,859.4,23,0.485,30.7,206.99999999999997,242.0,204.99999999999997,,,229.0,,,314.4,9.062999999999999,0.0001837825796391177,0.1569294926763028,0.12733440000000001,0.02462686567164177,3.268500191219208,3.3730935,0.38590782421406483,1.63,0.43888979668807754,2.08,3.1105935,5,3.299999999999997,7246.122,4,160.0,50.6,6.74619,21.5,0.0,-8.93926069,2.963255488,3.733467966,0.0,13.01,134.0,7.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,14.618,47.0,229.0,1.64,4.25
Cr,24,140.0,233.0,7.23,51.9961,2945.0,602.0,709.0,140.0,139.0,122.0,111.0,103.0,,7.15,83.0,0.6659999999999999,24,342.0,21.0,768.4,55,397.48,2.88,52,2130.0,51,119.0,128.0,28,57,791.3,24,0.488,93.9,206.0,245.0,204.99999999999997,,,225.0,,,302.3,9.77,0.0001981994087610857,0.15550025038196064,0.13130529999999999,0.024180327868852453,3.409751823813575,3.383255,0.41657293741783735,1.66,0.6017722849049041,2.12,3.050255,6,2.9499999999999993,7894.799,3,160.0,64.3,6.76651,21.0,0.0,-9.50571654,2.818080279,3.550558664,0.0,11.19,130.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,16.4857,115.0,229.0,1.73,4.65
Mn,25,140.0,242.0,7.39,54.938044,2235.0,552.0,635.0,147.0,150.0,119.0,105.0,103.0,,7.3,68.0,,25,221.0,13.4,774.4,72,283.3,8.89,55,1517.0,55,118.0,127.0,30,60,797.3,25,0.477,,204.99999999999997,245.0,204.99999999999997,,,224.00000000000003,,,296.1,10.34,0.0002542193347927405,0.17393131069573448,0.1352844,0.030252100840336117,3.396616551805635,,0.4686655621328206,1.55,0.6707264248040073,2.2,,7,3.599999999999998,8571.948,5,120.0,0.0,7.43402,12.91,0.0,-9.02056525034,2.757836487,3.474656242,0.000310120689655,10.4875862069,132.0,5.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,15.64,78.0,217.0,1.61,4.45
Fe,26,140.0,237.0,7.1,55.845,3023.0,482.0,548.0,140.0,142.0,115.99999999999999,109.0,102.0,,7.87,62.0,0.151,26,340.0,13.8,731.1,71,415.5,2.87,56,1808.0,59,117.0,126.0,30,61,754.0,26,0.443,80.4,204.0,244.0,204.99999999999997,,,223.0,,,291.2,10.64,0.0002786860879904876,0.17979873805701907,0.13925320000000002,0.032327586206896554,3.471431102585791,3.9512339,0.5053195481928565,1.83,0.7487270369307356,2.32,3.8757339,8,3.75,9277.681,2,170.0,15.7,7.9024,13.81,0.0,-8.28548436,2.778923379,3.501224062,2.1106628,10.73,125.0,4.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,16.1877,82.0,229.0,1.77,4.93
Co,27,135.0,233.0,6.7,58.933194,3143.0,408.0,461.0,137.0,138.0,111.00000000000001,103.0,96.0,,8.86,55.0,0.66225646,27,389.1,15.48,719.8,70,426.7,2.51,59,1768.0,63,116.0,125.0,32,64,742.7,27,0.456,100.0,200.0,240.0,200.0,,,223.0,,,287.2,10.86,0.00031653274896518117,0.18744368523675348,0.14323629999999998,0.035135135135135116,3.5330871769601155,3.940505,0.5469655075928689,1.88,0.8832423548457146,2.34,3.60937677,9,3.8999999999999986,10012.122,2,180.0,63.7,7.88101,16.2,0.0,-7.080389145,2.736406748,3.447656463,1.5484712,10.245,125.0,3.0,9.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,17.084,75.0,194.0,1.75,5.1
Ni,28,135.0,229.0,6.6,58.6934,3005.0,373.0,393.0,135.0,124.0,110.00000000000001,101.0,101.0,,8.9,49.0,1.156,28,378.6,17.61,714.1,69,430.1,3.52,58,1726.0,67,115.0,124.0,30,67,737.0,28,0.443,90.9,197.0,240.0,200.0,,,222.00000000000003,,,283.4,11.13,0.00033471074380165254,0.19188064472004931,0.1472068,0.036818181818181785,3.592263492562872,3.8199385,0.5887550428297939,1.91,0.9377039541419703,2.32,3.2419385000000003,10,4.049999999999997,10775.386,2,180.0,112.0,7.6398,17.48,0.0,-5.54632457,2.74306794,3.456049039,0.5953947,10.32,126.0,2.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,18.16884,76.0,225.0,1.75,5.2
Cu,29,135.0,217.0,7.1,63.546,2840.0,253.0,264.0,137.0,132.0,112.00000000000001,115.0,120.0,,8.96,46.5,1.235,29,304.6,13.01,632.4,68,337.4,3.61,63,1356.6,71,118.0,128.0,34,72,655.3,29,0.385,401.0,196.0,238.0,200.0,,,225.99999999999997,,,349.5,10.96,0.0002949617346938774,0.18175729499999244,0.15117160000000002,0.03303571428571427,3.742911300044392,3.86319,0.6184623183455441,1.9,0.9175541940253901,2.86,3.2456899999999997,11,3.6999999999999993,11567.612,2,140.0,118.4,7.72638,13.6,0.0,-3.68065482,2.807970487,3.537821124,0.0,11.07,126.0,1.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,20.2924,48.0,225.0,1.47,4.45
Zn,30,135.0,222.00000000000003,9.2,65.38,1180.0,284.0,276.0,132.0,122.0,118.0,120.0,,,7.134,38.67,,30,114.8,7.28,586.0,74,130.4,2.66,64,692.73,77,121.0,134.0,34,76,608.6,30,0.388,116.0,200.99999999999997,239.0,210.0,,,229.0,,,276.3,9.395,0.00031241022694627964,0.19200105931911157,0.15515179999999998,0.036864406779661,3.6985530278745498,,0.677021339913045,1.65,0.8100876915361356,2.26,,12,4.349999999999998,12388.928,1,70.0,0.0,9.394199,7.068,0.0,-1.239999915,3.033694224,3.822215211,0.0,13.96,140.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,17.96439,43.0,194.0,1.32,4.1
Ga,31,130.0,233.0,11.8,69.723,2676.0,498.0,456.0,,122.0,124.0,117.0,121.0,,5.91,50.0,0.43,31,270.3,5.59,,79,271.96,4.51,69,302.93,83,125.0,140.0,38,81,,31,0.372,28.1,187.0,232.0,210.0,187.0,438.99999999999994,246.0,,,438.3,10.39,0.0003251821019771072,0.2008048322256247,0.17237729999999998,0.04032258064516129,4.368082790729437,2.9996509,0.3914867641168864,1.81,0.720540995303547,2.43,2.7846509,3,5.0,13239.488,1,,28.9,5.999301,5.585,0.0,-3.0122553025,3.353549368,4.225207441,0.0,18.8575,134.0,5.0,13.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,20.51515,,64.0,1.31,4.1
Ge,32,125.0,234.0,13.6,72.63,3103.0,354.0,365.0,,120.0,121.0,111.0,114.0,,5.3234,40.0,1.232712,32,328.0,36.8,,84,372.0,5.66,74,1210.6,89,124.0,144.0,42,84,,32,0.322,60.2,211.0,229.0,210.0,,426.99999999999994,244.0,,211.0,428.0,11.8,0.0003859026022812648,0.2160884422546311,0.1895892,0.04669421487603305,5.089367470521263,3.9497175,0.4641588833612779,2.01,0.8001470851810186,2.79,3.3333615,4,5.649999999999999,14119.429,2,,119.0,7.89943,36.94,0.383,-4.616039545,3.583307493,4.514684539,0.0,23.005,114.0,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,15.93461,,225.0,1.37,4.55
