,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_affinity,electrons,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,neutrons,pettifor_number,proton_affinity,protons,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,en_Allen,en_Allred_Rochow,en_Cottrell_Sutton,en_Ghosh,en_Gordy,en_Martynov_Batsanov,en_Mulliken,en_Nagle,en_Pauling,en_Sanderson,en_Tardini_Organov,hardness,nvalence,zeff,max_ionenergy,num_oxistates,BulkModulus,ElectronAffinity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,MiracleRadius,NUnfilled,NValence,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,SecondIonizationEnergy,ShearModulus,SpaceGroupNumber,n_ws^third,phi
Lu,71,175.0,270.0,17.8,174.9668,3668.0,,2020.0,,187.0,162.0,131.0,131.0,,9.84,137.0,0.34,71,414.0,,970.6,19,427.6,3.51,175,1936.0,41,,,104,21,992.0,71,0.155,,224.00000000000003,274.0,,,,265.0,,,364.0,6.455,0.00011431184270690443,0.13608276348795434,0.22565,0.018518518518518517,3.1085262585347415,2.7129355,0.24440109245300048,1.0,0.6027397824064642,2.68,2.5429355,2,3.0,73804.8,1,48.0,50.0,5.42586,18.65,0.0,-4.52300002,3.864860763,4.869419431,0.0022471,28.865,175.0,9.0,17.0,9.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,13.9,27.0,194.0,1.24,3.22
Hf,72,155.0,264.0,13.6,178.49,5470.0,,1040.0,,175.0,152.0,128.0,122.0,,13.3,103.0,0.013999999999999999,72,575.0,25.1,,50,618.4,3.2,180,2503.0,45,144.0,159.0,108,50,,72,0.146,23.0,223.0,263.0,225.0,,,252.99999999999997,,,314.1,6.83,0.00013634002770083128,0.1439572304906091,0.229987,0.020723684210526352,3.303412629387979,3.412535,0.33864207939128904,1.3,0.735212465576292,2.01,3.405535,4,3.1500000000000057,76077.8,1,110.0,0.0,6.82507,27.2,0.0,-9.954299335,3.541014105,4.461398209,0.0,22.2,158.0,8.0,18.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,15.0,30.0,194.0,1.45,3.6
Ta,73,145.0,258.0,10.9,180.94788,5698.0,,887.0,,170.0,146.0,126.0,119.0,,16.4,74.0,0.322,73,758.0,24.7,,52,782.0,3.31,181,3269.0,49,134.0,146.0,108,53,,73,0.14,57.5,222.00000000000003,253.0,220.00000000000003,,,243.00000000000003,,,317.0,7.93,0.00015481328579470874,0.15034207570080796,0.23458099999999998,0.022602739726027474,3.445980992402599,3.774785,0.4072984539210855,1.5,0.8358832129444371,2.32,3.613785,5,3.3000000000000114,78394.7,1,200.0,31.0,7.54957,36.57,0.0,-11.85139954,3.309248619,4.169391995,0.0,18.12,145.0,7.0,19.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,,69.0,229.0,1.63,4.05
W,74,135.0,252.99999999999997,9.53,183.84,5930.0,,757.0,,162.0,137.0,120.0,115.0,,19.3,68.0,0.81626,74,824.0,35.0,,57,851.0,3.16,184,3680.0,53,130.0,139.0,110,56,,74,0.133,173.0,218.00000000000003,257.0,210.0,,,239.0,,,309.6,8.67,0.00018381373541477984,0.15868989177583062,0.2390504,0.025182481751824838,3.4831042189403405,3.932015,0.44519209670080934,1.7,1.0192832204667641,2.42,3.523885,6,3.450000000000003,80755.6,6,310.0,78.6,7.86403,52.31,0.0,-12.95880062,3.178105751,4.004162334,0.0,16.05,135.0,6.0,20.0,6.0,4.0,0.0,14.0,0.0,0.0,0.0,2.0,16.1,161.0,229.0,1.81,4.8
Re,75,135.0,249.00000000000003,8.85,186.207,5900.0,,663.0,,151.0,131.0,119.0,110.0,,20.8,62.0,0.15,75,704.0,34.0,,58,774.0,2.76,187,3453.0,57,128.0,137.0,112,59,,75,0.138,48.0,216.0,249.0,204.99999999999997,,,237.0,,,295.4,9.46,0.00020977798496591156,0.16577368919866148,0.24351639999999997,0.027480916030534416,3.4952482029177845,3.91676,0.48332076050128514,1.9,1.1745918852993071,2.59,3.84176,7,3.6000000000000085,83162.3,5,370.0,14.5,7.83352,34.08,0.0,-12.417027765,3.083225384,3.884620563,0.0,14.655,137.0,5.0,21.0,5.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,,178.0,194.0,1.85,5.2
Os,76,130.0,244.0,8.43,190.23,5300.0,,584.0,,144.0,129.0,116.0,109.0,,22.5872,57.0,1.1,76,738.0,31.7,,60,787.0,2.74,192,3327.0,61,126.0,135.0,116,62,,76,0.131,,216.0,248.0,200.0,,,235.0,,,312.0,9.78,0.00022534703443302686,0.17049858486761837,0.24798449999999997,0.029069767441860465,3.566386827028162,4.219115,0.5196828406118894,2.2,1.2392758895983609,2.72,3.6691150000000006,8,3.75,85614.4,7,,106.1,8.43823,57.85,0.0,-11.22070399,3.043082054,3.834043137,0.0,14.09,135.0,4.0,22.0,4.0,6.0,0.0,14.0,0.0,0.0,0.0,2.0,,222.0,194.0,1.85,5.4
Ir,77,135.0,240.0,8.54,192.217,4403.0,,522.0,,141.0,122.0,115.0,107.0,,22.5622,54.0,1.5638,77,604.0,27.61,,62,669.0,3.84,193,2683.0,65,127.0,136.0,116,65,,77,0.133,147.0,213.0,241.0,200.0,,,236.0,,,284.0,9.96,0.00026202633700618153,0.17879377258381832,0.25106,0.031967213114754145,3.6032637982806643,4.48351,0.5503212081491045,2.2,1.4759983395995084,2.79,3.7016099999999996,9,3.9000000000000057,88113.3,7,320.0,151.0,8.96702,41.12,0.0,-8.84851145,3.051696628,3.84489682,0.0,14.21,136.0,3.0,23.0,3.0,7.0,0.0,14.0,0.0,0.0,0.0,2.0,,210.0,225.0,1.83,5.55
Pt,78,135.0,229.99999999999997,9.1,195.084,4100.0,,470.0,,136.0,123.0,112.0,110.0,,21.5,48.0,2.128,78,470.0,21.76,,64,565.7,3.92,195,2045.0,69,130.0,139.0,117,68,,78,0.133,71.6,213.0,229.0,204.99999999999997,,,239.0,,,275.4,10.16,0.00023464868795029396,0.16988757640830054,0.25690999999999997,0.028861788617886155,3.709368544644762,4.479415,0.5928155507483438,2.2,1.4510095714121427,2.98,3.4154150000000003,10,3.549999999999997,90660.0,3,230.0,205.3,8.9588,22.175,0.0,-6.02850968,3.108612885,3.91660681,0.0,15.02,139.0,2.0,24.0,1.0,9.0,0.0,14.0,0.0,0.0,1.0,1.0,18.563,61.0,225.0,1.78,5.65
Au,79,135.0,225.99999999999997,10.2,196.966569,3080.0,,427.0,,136.0,124.0,121.0,123.0,,19.3,36.0,2.30863,79,340.0,12.68,,66,368.2,4.08,197,1337.58,73,134.0,144.0,118,70,,79,0.129,318.0,214.0,232.0,210.0,,,243.00000000000003,,,329.3,11.33,0.0002406347554630595,0.17273884819987476,0.26137,0.02983870967741938,3.8359192509749214,4.6127765,0.6735400034370318,2.4,1.4267006758328493,2.81,3.4584615,11,3.700000000000003,93254.3,2,220.0,222.8,9.22553,12.55,0.0,-3.20969261,3.220442052,4.057502731,0.0,16.7,143.0,1.0,25.0,0.0,10.0,0.0,14.0,0.0,0.0,1.0,1.0,20.2,27.0,225.0,1.57,5.15
Hg,80,150.0,229.0,14.8,200.592,629.73,,268.0,,132.0,133.0,142.0,,,13.5336,33.91,,80,58.5,2.295,,76,61.38,2.99,202,234.28,79,139.0,151.0,122,74,,80,0.138,8.3,223.0,245.0,204.99999999999997,,,252.99999999999997,,,270.5,10.44,0.00024591554073152854,0.18085012280143273,0.16899999999999998,0.032706766917293295,3.8206265193028224,,0.7073230627108447,1.9,1.1647894003115902,2.92,,12,4.3500000000000085,95897.7,2,25.0,0.0,10.4375,2.295,0.0,-0.250105562414,3.695665057,4.656246199,0.0,25.2375862069,152.0,0.0,26.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,2.0,18.7568,,166.0,1.24,4.2
Tl,81,190.0,242.0,17.2,204.38,1730.0,,509.0,190.0,145.0,144.0,142.0,150.0,,11.8,50.0,0.377,81,162.4,4.31,,81,182.2,3.46,205,576.6,85,144.0,160.0,124,78,,81,0.128,46.1,196.0,247.0,220.00000000000003,196.0,,259.0,,,434.69999999999993,,0.00024112654320987653,0.18633899812498247,0.173447,0.034722222222222224,4.335457953511563,3.0541435,0.3914867641168864,1.8,0.9245095569512645,2.26,2.8656435,3,5.0,98591.6,2,43.0,19.2,6.108194,4.142,0.0,-2.27267753,3.775558738,4.756905929,0.0,26.91,172.0,5.0,27.0,0.0,10.0,0.0,14.0,5.0,1.0,0.0,2.0,20.4283,2.8,194.0,1.12,3.9
Pb,82,180.0,249.00000000000003,18.3,207.2,2013.0,,534.0,,146.0,144.0,135.0,137.0,,11.3,47.0,0.35674316,82,177.8,4.77,,82,195.2,4.95,208,600.65,91,150.0,170.0,126,82,,82,0.159,35.3,202.0,260.0,229.99999999999997,202.0,,274.0,,,429.7,10.97,0.00027247299382716076,0.19808107206674533,0.17791099999999999,0.03923611111111115,4.91729187663291,3.7083398,0.4398663212684365,1.8,0.9313225746154785,2.62,3.52996822,4,5.650000000000006,101336.4,2,46.0,35.1,7.41663,4.774,0.0,-3.62902961,3.830865877,4.826588558,0.0,28.11,174.0,4.0,28.0,0.0,10.0,0.0,14.0,4.0,2.0,0.0,2.0,15.03248,5.6,225.0,1.15,4.1
Bi,83,160.0,250.0,21.3,208.9804,1883.0,,513.0,148.0,148.0,151.0,141.0,135.0,,9.79,48.0,0.942362,83,172.0,11.0,,92,209.6,4.75,209,544.5,97,151.0,178.0,126,87,,83,0.124,7.9,206.99999999999997,254.0,229.99999999999997,,,266.0,,206.99999999999997,437.0,11.9,0.00027630367089162745,0.20425928205258076,0.182377,0.04172185430463574,5.473052457267333,3.642758,0.4705180144405143,1.9,0.8136501417840161,2.69,3.171577,5,6.299999999999997,104132.8,2,31.0,91.2,7.2855,11.106,0.0,-3.9736944,4.039197959,5.089070533,0.0,32.95,162.0,3.0,29.0,0.0,10.0,0.0,14.0,3.0,3.0,0.0,2.0,16.703,12.0,12.0,1.16,4.15
Po,84,190.0,250.0,22.7,209.0,1235.0,,424.0,,140.0,145.0,135.0,129.0,,9.2,44.0,1.9,84,102.9,10.0,,93,,3.35,208,527.0,103,,,124,91,,84,0.125,,197.0,,,,,259.0,,197.0,470.9,13.0,0.0003305588585017837,0.2189315748875859,0.186842,0.04793103448275864,6.011294924279349,4.207,0.5147142492000893,2.0,0.925630661892272,2.85,3.2569999999999997,6,6.950000000000003,106982.7,3,,183.3,8.414,10.0,0.0,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,168.0,2.0,30.0,0.0,10.0,0.0,14.0,2.0,4.0,0.0,2.0,,,221.0,,
At,85,,247.00000000000003,,210.0,610.0,,351.0,,150.0,147.0,138.0,138.0,,7.0,42.0,2.8,85,,,,98,,,210,575.0,110,,,125,96,,85,,,202.0,,,,,250.99999999999997,,202.0,475.0,14.1,0.00035170530797352993,0.2273778359297777,0.19130999999999998,0.051700680272108904,6.556539919369492,4.658755,0.5503212081491045,2.2,0.8948602520024974,3.04,3.2587550000000003,7,7.6000000000000085,109886.0,5,,270.1,,,0.0,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,,1.0,31.0,0.0,10.0,0.0,14.0,1.0,5.0,0.0,2.0,,,,,
Rn,86,,243.00000000000003,,222.0,211.4,,408.0,,150.0,142.0,145.0,133.0,,0.009074,35.0,,86,18.1,,,6,,,210,202.0,117,,,124,6,,86,0.094,0.0036,220.00000000000003,240.0,,,,243.00000000000003,,220.00000000000003,476.49999999999994,15.4,0.0004091450109105336,0.2410364942271103,0.195772,0.058098591549295774,7.118185337570243,,0.6114214174657597,,1.0,3.04,,8,8.25,112843.7,1,,0.0,10.7485,,0.0,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,,0.0,32.0,0.0,10.0,0.0,14.0,0.0,6.0,0.0,2.0,,,,,
Fr,87,,258.0,,223.0,950.0,,,,260.0,223.0,218.0,,,1.87,317.8,0.486,87,,15.0,,7,,,212,300.0,6,,,125,7,,87,,,348.0,,,,,364.0,,348.0,490.00000000000006,,4.423977960546166e-05,0.09932507665246451,0.08731,0.00986547085201795,2.0181032926983695,2.03637045,0.14653747448537902,0.7,0.2607619694720678,2.01,1.7933704500000003,1,2.200000000000003,115859.0,1,,,4.072741,,0.0,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
Ra,88,215.0,292.0,45.0,226.0,1413.0,,,,221.0,200.99999999999997,173.0,159.0,,5.0,246.0,0.1,88,113.0,9.6,,13,159.0,,226,973.0,10,,,138,13,,88,0.12,,283.0,,,,,327.0,,283.0,367.7,,7.05428083463283e-05,0.1190760449360491,0.09788999999999999,0.014179104477611984,2.777190756862049,2.639212,0.20107818794899246,0.9,0.3596254129512225,2.15,2.5892120000000003,2,2.8500000000000085,118931.3,1,,,5.278423,7.7,0.0,-4.03934834875,4.262821718,5.370818814,0.0,38.73125,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.14715,,229.0,,
Ac,89,195.0,293.0,22.54,227.0,3470.0,,,,215.0,186.0,153.0,140.0,,10.0,203.0,0.35,89,292.9,10.5,,33,406.0,5.31,225,1320.0,14,,,136,48,,89,,,247.00000000000003,280.0,,,,308.0,,,347.8,,8.671522719389525e-05,0.1270001270001905,0.10032999999999999,0.016129032258064516,2.9266214309336287,2.690113,0.24540029036909197,1.1,0.4583164079436947,2.22,2.5151130000000004,3,3.0,122062.9,1,,,5.17,12.0,0.0,-4.1050022975,4.465163104,5.625752986,0.0,44.5125,,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.75,,225.0,,
Th,90,180.0,288.0,19.8,232.0377,5060.0,,,,206.0,175.0,143.0,136.0,,11.7,217.0,,90,513.7,16.11,,34,602.0,5.08,232,2028.0,16,,,142,47,,90,0.113,,245.00000000000003,293.0,240.0,,,274.0,,,339.6,,0.00010285714285714305,0.1341640786499875,0.10277,0.018000000000000033,3.017175831800328,,0.20966378445953726,1.3,0.555701877186589,2.62,,2,3.1500000000000057,125253.4,1,54.0,,6.3067,13.81,0.0,-7.41254306,4.015357627,5.059033597,0.0,32.37,178.0,8.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.9,31.0,225.0,1.28,3.3
Pa,91,180.0,285.0,15.0,231.03588,4300.0,,,,200.0,169.0,138.0,129.0,,15.4,154.0,,91,481.2,16.7,,35,563.0,3.92,231,2113.0,18,,,140,46,,91,0.121,,243.00000000000003,288.0,,,,264.0,,,342.4,,0.00010503833899373271,0.13323467750529824,0.12149000000000001,0.01775147928994083,2.982448658401348,,0.2350551431604272,1.5,0.623065691535318,2.33,,2,3.0,128507.0,2,,,5.89,12.34,0.0,-9.49741247,3.692852039,4.652702018,0.0,25.18,165.0,21.0,5.0,9.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,,,139.0,,
U,92,175.0,283.0,12.5,238.02891,4018.0,,,,196.0,170.0,134.0,118.0,,19.1,129.0,,92,417.0,12.6,973.2,36,533.0,2.85,238,1405.5,20,,,146,45,995.2,92,0.115,27.5,241.0,271.0,229.99999999999997,,,252.0,,,339.5,,0.00010380622837370242,0.1328422328310143,0.13207,0.01764705882352941,2.981949865440397,,0.24935232870451163,1.7,0.6181179979395386,2.45,,2,3.0,131821.0,4,100.0,,6.1941,9.14,0.0,-11.292339955,3.42137628,4.310663995,0.0,20.025,158.0,20.0,6.0,9.0,1.0,11.0,3.0,0.0,0.0,0.0,2.0,10.6,111.0,63.0,1.51,3.9
Np,93,175.0,281.0,21.1,237.0,4175.0,,,,190.0,171.0,136.0,116.0,,20.2,151.0,,93,336.0,9.6,,37,464.8,4.72,236,913.0,22,,,143,44,,93,,,239.0,282.0,,,,252.0,,,342.4,,0.00010259567046270647,0.13245323570650439,0.14265,0.017543859649122806,2.9803942692200978,,0.23660160305391675,1.3,0.6132539757176252,2.35,,2,3.0,135202.0,4,,,6.2657,3.2,0.0,-12.9403143562,3.329442683,4.194834921,0.0,18.45375,175.0,19.0,7.0,9.0,1.0,10.0,4.0,0.0,0.0,0.0,2.0,,,62.0,,
Pu,94,175.0,278.0,,244.0,3505.0,,,,187.0,172.0,135.0,,,19.7,132.0,,94,343.5,2.8,,38,345.0,,238,914.0,24,,,144,43,,94,,,243.00000000000003,281.0,,,,252.0,,,342.4,,9.633585722011927e-05,0.12872360871984795,0.16137,0.016569767441860516,2.960219586449627,,0.2474488015799764,1.3,0.6084716517443038,2.22,,2,2.8500000000000085,138646.0,4,,,6.026,2.824,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,175.0,8.0,8.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,11.2,43.0,11.0,1.44,3.8
Am,95,175.0,276.0,20.8,243.0,2880.0,,,,180.0,166.0,135.0,,,12.0,131.0,,95,238.5,10.0,,39,284.0,,241,1267.0,26,,,146,42,,95,,,244.0,283.0,,,,,,,338.1,,0.00010342575119756164,0.1310292894691688,0.17194,0.017168674698795232,2.972692382336255,,0.24807684691733564,,0.6834156763033927,2.28,,2,2.8500000000000085,142161.0,4,,,5.9738,14.39,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,7.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,,,194.0,,
Cm,96,,276.0,18.28,247.0,,,,,169.0,166.0,136.0,,,13.51,144.0,,96,,,,40,386.0,,243,1340.0,28,,,147,41,,96,,,245.00000000000003,305.0,,,,,,,332.6,,0.00010886921178690666,0.13443321448446624,0.17439000000000002,0.018072289156626505,2.8276668827851696,,0.2403749283845681,,0.6900094787020062,2.31,,2,3.0,145743.0,2,,,5.9914,14.64,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,16.0,10.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,,,194.0,,
Bk,97,,,,247.0,,,,,,168.0,139.0,,,14.78,125.0,,97,,,,41,310.0,,247,,30,,,150,40,,97,,,244.0,340.0,,,,,,,333.9,,0.00010097789115646289,0.13024701806293212,0.19315,0.016964285714285765,3.0081389595562236,,0.25198420997897464,,0.6720603769263958,2.08,,2,2.8500000000000085,149398.0,2,,,6.1979,,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,5.0,11.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,,,194.0,,
Cf,98,,,,251.0,,,,,,168.0,140.0,,,15.1,122.0,,98,,,,42,196.0,,249,900.0,32,,,151,39,,98,,,245.00000000000003,305.0,,,,,,,331.3,,0.00010097789115646289,0.13024701806293212,0.20369,0.016964285714285765,3.0233838658033485,,0.2540329520093663,,0.6785031788138821,2.18,,2,2.8500000000000085,153124.0,2,,,6.2817,,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,4.0,12.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,11.8,,194.0,,
Es,99,,,,252.0,1130.0,,,,,165.0,140.0,,,8.84,118.0,,99,,,,43,133.0,,252,,34,,,153,38,,99,,,245.00000000000003,270.0,,,,,,,329.9,,0.00010468319559228682,0.13142574813455438,0.21427,0.017272727272727325,3.0469328840655483,,0.2568715439661365,,0.7230333980393967,2.29,,2,2.8500000000000085,156926.0,1,,,6.42,9.41,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,3.0,13.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,12.0,,,,
Fm,100,,,,257.0,,,,,,167.0,,,,9.7,113.0,,100,,,,44,,,253,1800.0,36,,,153,37,,100,,,245.00000000000003,,,,,,,,328.6,,0.00010219082792498865,0.1306363971620203,0.22485,0.017065868263473106,2.8722813232690143,,0.2606056641783871,,0.704008955595249,2.38,,2,2.8500000000000085,160804.0,1,,,6.5,,0.0,-14.326634305,3.306811764,4.166321749,0.3180036375,18.08,,2.0,14.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,,,,,
